capital,department,latitude,longitude
Leticia,Amazonas,-4.2119,-69.9395
Medellín,Antioquia,6.2442,-75.5812
Arauca,Arauca,7.0762,-70.7105
Barranquilla,Atlántico,11.0041,-74.8070
Cartagena,Bolivar,10.3910,-75.4794
Tunja,Boyacá,5.5446,-73.3576
Manizales,Caldas,5.0672,-75.5133
Florencia,Caquetá,1.6154,-75.6042
Yopal,Casanare,5.3489,-72.4005
Popayán,Cauca,2.4448,-76.6147
Valledupar,Cesar,10.4742,-73.2436
Quibdó,Chocó,5.6956,-76.6498
Montería,Córdoba,8.7596,-75.8857
Bogotá,Cundinamarca,4.7110,-74.0721
Inírida,Guainía,3.8683,-67.9239
San José del Guaviare,Guaviare,2.5685,-72.6417
Neiva,Huila,2.9376,-75.2724
Rioacha,La Guajira,11.5384,-72.9168
Santa Marta, Magdalena,11.2331,-74.1929
Villavicencio,Meta,4.1515,-73.6382
Pasto,Nariño,1.2059,-77.2858
Cúcuta,Norte de Santander,7.8885,-72.5031
Mocoa,Putumayo,1.1523,-76.6511
Armenia,Quindio,4.5351,-75.6732
Pereira,Risaralda,4.8048,-75.7138
San Andrés,San Andrés y Providencia,12.5567,-81.7185
Bucaramanga,Santander,7.1173,-73.1261
Sincelejo,Sucre,9.3046,-75.3906
Ibagué,Tolima,4.4447,-75.2424
Cali,Valle del Cauca,3.4525,-76.5358
Mitú,Vaupés,1.2522,-70.2336
Puerto Careño,Vichada,6.1848,-67.4885